allan1,allan2
54251,55180
54257,55186
54264,55194
54271,55200
54278,55207
54285,55213
54292,55220
54299,55226
54305,55232
54313,55239
54320,55246
54326,55253
54334,55259
54341,55265
54348,55272
54354,55278
54361,55285
54369,55291
54376,55298
54383,55304
54389,55310
54397,55317
54404,55323
54410,55331
54417,55337
54424,55344
54431,55350
54437,55356
54445,55363
54452,55369
54458,55376
54466,55382
54472,55389
54479,55395
54486,55402
54493,55407
54500,55414
54507,55420
54513,55428
54521,55434
54528,55441
54535,55447
54541,55454
54548,55460
54556,55467
54562,55473
54569,55480
54576,55486
54583,55493
54590,55499
54597,55507
54604,55513
54611,55519
54618,55526
54624,55532
54631,55539
54638,55545
54645,55552
54651,55559
54659,55565
54666,55572
54673,55578
54679,55585
54686,55591
54694,55597
54700,55604
54707,55611
54714,55617
54721,55624
54728,55630
54735,55637
54742,55643
54749,55649
54756,55656
54762,55663
54770,55669
54776,55676
54783,55682
54790,55689
54797,55695
54803,55702
54811,55708
54817,55714
54824,55721
54831,55728
54837,55734
54844,55740
54851,55746
54857,55754
54865,55760
54872,55766
54879,55774
54886,55780
54893,55787
54900,55793
54907,55800
54913,55806
54920,55812
54928,55819
54935,55825
54941,55832
54948,55838
54955,55845
54963,55852
54970,55858
54976,55864
54983,55871
54990,55877
54998,55884
55004,55890
55011,55896
55018,55904
55025,55910
55032,55916
55038,55924
55046,55930
55052,55937
55059,55943
55065,55950
55073,55956
55080,55963
55086,55969
55093,55976
55101,55982
55107,55989
55114,55996
55121,56002
55129,56008
55135,56015
55142,56022
55149,56028
55156,56034
55162,56040
55170,56047
55177,56054
55184,56060
55190,56067
55197,56074
55205,56080
55211,56087
55218,56093
55225,56100
55232,56107
55239,56113
55246,56119
55253,56126
55259,56133
55267,56139
55273,56146
55280,56152
55288,56158
55294,56165
55301,56172
55308,56178
55315,56184
55322,56191
55329,56197
55336,56203
55343,56211
55350,56217
55357,56223
55364,56230
55370,56236
55377,56243
55384,56250
55391,56256
55398,56263
55405,56270
55412,56276
55419,56283
55426,56289
55433,56295
55440,56302
55447,56308
55453,56315
55460,56322
55467,56328
55474,56335
55481,56342
55488,56347
55495,56355
55502,56361
55509,56367
55516,56374
55523,56381
55529,56387
55536,56393
55544,56400
55551,56406
55557,56413
55564,56419
55571,56426
55577,56432
55584,56439
55591,56446
55599,56452
55605,56459
55612,56465
55619,56471
55625,56479
55632,56485
55639,56491
55646,56498
55654,56504
55661,56510
55667,56517
55674,56524
55681,56530
55688,56537
55695,56543
55703,56549
55710,56556
55716,56562
55723,56569
55730,56576
55737,56582
55744,56589
55750,56595
55757,56603
55764,56609
55770,56615
55778,56622
55785,56628
55792,56635
55798,56641
55805,56647
55812,56655
55819,56661
55826,56667
55833,56675
55840,56681
55846,56688
55853,56694
55860,56700
55867,56707
55874,56714
55881,56720
55888,56727
55895,56733
55903,56739
55909,56746
55915,56752
55922,56758
55929,56765
55936,56771
55943,56778
55950,56785
55957,56791
55964,56798
55971,56805
55977,56811
55985,56817
55992,56824
55999,56830
56006,56836
56013,56843
56020,56850
56027,56856
56033,56863
56040,56869
56047,56875
56054,56883
56061,56889
56068,56895
56075,56902
56082,56908
56089,56914
56095,56921
56102,56928
56109,56934
56116,56940
56124,56946
56130,56954
56137,56960
56144,56966
56151,56972
56158,56980
56165,56986
56172,56992
56179,56999
56185,57005
56192,57012
56199,57019
56206,57026
56213,57032
56220,57039
56226,57045
56234,57051
56241,57058
56248,57064
56255,57071
56262,57077
56268,57084
56276,57090
56283,57096
56290,57103
56296,57110
56304,57117
56311,57123
56317,57129
56324,57136
56331,57142
56338,57148
56345,57154
56351,57161
56358,57168
56365,57174
56372,57181
56379,57188
56386,57194
56392,57200
56399,57207
56406,57213
56413,57220
56421,57227
56427,57233
56434,57240
56441,57246
56448,57253
56455,57259
56461,57266
56468,57272
56475,57279
56482,57285
56489,57292
56496,57299
56502,57305
56509,57312
56516,57319
56523,57325
56531,57332
56537,57338
56544,57345
56550,57351
56558,57358
56565,57365
56571,57371
56579,57378
56586,57384
56593,57392
56599,57398
56607,57405
56614,57411
56620,57418
56627,57424
56634,57430
56641,57437
56647,57444
56654,57450
56661,57457
56668,57463
56674,57470
56682,57476
56689,57483
56696,57490
56702,57496
56709,57502
56717,57509
56724,57516
56730,57522
56737,57528
56744,57535
56752,57541
56758,57548
56765,57554
56772,57561
56779,57567
56786,57574
56793,57580
56800,57587
56807,57593
56814,57600
56821,57606
56828,57613
56836,57619
56842,57626
56849,57632
56856,57638
56863,57645
56869,57652
56876,57658
56883,57665
56890,57672
56897,57678
56904,57685
56911,57691
56917,57698
56924,57704
56932,57711
56939,57717
56945,57723
56952,57730
56959,57737
56966,57743
56973,57749
56980,57756
56987,57762
56993,57770
57000,57776
57007,57782
57015,57789
57021,57795
57028,57803
57036,57809
57042,57816
57049,57822
57056,57829
57063,57835
57070,57842
57077,57848
57084,57854
57090,57860
57097,57868
57104,57874
57111,57880
57118,57887
57125,57894
57132,57900
57139,57906
57146,57913
57153,57920
57159,57926
57167,57933
57174,57939
57180,57945
57187,57951
57194,57959
57200,57965
57207,57971
57215,57978
57222,57984
57228,57990
57235,57998
57243,58004
57250,58010
57256,58016
57263,58022
57271,58030
57277,58036
57284,58043
57291,58049
57299,58055
57305,58062
57312,58068
57320,58075
57326,58082
57333,58088
57341,58094
57348,58101
57354,58108
57361,58114
57368,58121
57375,58128
57381,58134
57389,58141
57396,58147
57402,58153
57409,58160
57417,58166
57424,58173
57430,58179
57437,58185
57444,58192
57451,58199
57458,58206
57465,58212
57472,58218
57478,58225
57486,58231
57493,58238
57500,58244
57506,58251
57514,58257
57521,58263
57527,58270
57535,58276
57542,58284
57548,58290
57555,58297
57563,58303
57569,58309
57576,58316
57582,58322
57589,58329
57597,58335
57603,58343
57610,58349
57617,58355
57623,58362
57631,58368
57638,58376
57645,58382
57651,58388
57659,58395
57666,58401
57672,58408
57679,58414
57687,58421
57693,58427
57700,58434
57708,58440
57714,58447
57721,58453
57729,58459
57735,58466
57742,58472
57750,58479
57756,58485
57763,58492
57770,58498
57777,58505
57784,58511
57790,58518
57797,58525
57805,58531
57812,58537
57818,58545
57825,58551
57832,58558
57839,58565
57846,58572
57852,58578
57860,58584
57867,58591
57874,58597
57881,58604
57887,58610
57895,58617
57902,58623
57908,58630
57915,58637
57921,58643
57929,58650
57936,58656
57943,58662
57950,58669
57956,58675
57964,58681
57970,58688
57978,58694
57985,58701
57992,58707
57998,58713
58006,58721
58012,58727
58020,58733
58026,58740
58034,58746
58040,58753
58047,58759
58054,58765
58061,58772
58067,58778
58075,58785
58081,58792
58089,58798
58095,58805
58102,58811
58109,58817
58116,58824
58123,58830
58130,58836
58137,58844
58145,58850
58151,58857
58159,58863
58165,58870
58173,58876
58179,58883
58186,58890
58193,58896
58200,58902
58207,58909
58213,58915
58221,58922
58228,58929
58235,58935
58242,58942
58248,58949
58256,58955
58262,58962
58270,58968
58277,58975
58284,58981
58290,58988
58297,58995
58304,59001
58312,59007
58318,59014
58325,59021
58332,59027
58339,59033
58346,59040
58353,59046
58361,59053
58367,59060
58374,59066
58381,59072
58388,59080
58395,59085
58401,59092
58409,59099
58415,59106
58422,59112
58429,59118
58436,59124
58443,59131
58450,59137
58457,59144
58464,59151
58471,59157
58478,59164
58485,59171
58492,59177
58499,59183
58505,59190
58513,59196
58519,59203
58527,59209
58533,59216
58541,59222
58547,59228
58554,59236
58561,59242
58568,59248
58575,59254
58582,59261
58589,59267
58596,59273
58603,59281
58610,59287
58617,59293
58623,59300
58631,59306
58637,59313
58645,59319
58652,59325
58659,59332
58666,59338
58672,59345
58679,59351
58686,59357
58693,59364
58700,59370
58706,59377
58714,59384
58720,59390
58728,59396
58734,59403
58742,59409
58748,59415
58756,59422
58762,59429
58768,59435
58776,59442
58782,59448
58790,59455
58796,59461
58804,59468
58810,59474
58818,59481
58824,59487
58832,59493
58838,59500
58844,59506
58852,59513
58858,59520
58866,59526
58872,59532
58880,59539
58886,59545
58893,59551
58901,59558
58907,59564
58914,59571
58921,59578
58928,59584
58935,59591
58942,59597
58949,59603
58956,59610
58963,59616
58969,59623
58977,59630
58983,59636
58990,59642
58997,59650
59004,59656
59010,59663
59018,59669
59024,59675
59030,59682
59038,59688
59045,59696
59052,59702
59059,59708
59065,59715
59073,59721
59080,59728
59086,59734
59094,59741
59101,59747
59107,59753
59115,59761
59121,59767
59128,59774
59135,59780
59143,59786
59149,59794
59156,59800
59163,59807
59170,59813
59176,59820
59184,59826
59190,59832
59197,59840
59204,59846
59211,59853
59218,59859
59225,59865
59232,59872
59239,59879
59246,59886
59253,59892
59260,59898
59266,59905
59274,59911
59280,59918
59288,59924
59294,59931
59301,59938
59308,59944
59314,59951
59322,59957
59328,59963
59335,59970
59342,59976
59349,59983
59356,59989
59363,59996
59369,60003
59377,60009
59383,60016
59390,60022
59398,60028
59404,60035
59411,60040
59418,60048
59424,60054
59432,60060
59439,60066
59445,60073
59453,60080
59459,60086
59466,60093
59474,60099
59480,60106
59487,60112
59494,60119
59501,60125
59508,60132
59515,60138
59522,60145
59528,60151
59536,60158
59542,60164
59549,60171
59556,60177
59563,60185
59570,60191
59576,60197
59584,60203
59591,60210
59597,60217
59605,60223
59612,60229
59618,60235
59626,60242
59632,60248
59639,60255
59647,60262
59653,60268
59660,60275
59668,60281
59674,60287
59680,60295
59688,60301
59695,60308
59701,60314
59709,60320
59716,60327
59722,60333
59729,60340
59737,60346
59743,60353
59750,60360
59757,60366
59764,60372
59771,60379
59778,60385
59785,60392
59792,60398
59799,60405
59806,60412
59813,60418
59820,60424
59827,60432
59834,60438
59841,60444
59848,60450
59855,60458
59861,60464
59869,60470
59875,60476
59882,60483
59889,60490
59896,60496
59903,60503
59910,60509
59917,60516
59925,60523
59932,60529
59938,60535
59945,60543
59952,60549
59960,60555
59966,60563
59973,60569
59980,60575
59987,60581
59994,60589
60000,60595
60007,60602
60015,60608
60021,60614
60028,60621
60035,60628
60042,60634
60049,60640
60055,60647
60063,60654
60069,60660
60076,60667
60084,60674
60090,60680
60097,60686
60105,60693
60111,60699
60118,60706
60125,60712
60131,60719
60139,60725
60146,60733
60152,60739
60159,60745
60166,60752
60174,60759
60180,60765
60187,60771
60194,60778
60201,60784
60208,60791
60215,60798
60221,60804
60229,60811
60236,60818
60242,60824
60249,60831
60256,60837
60263,60844
60270,60850
60276,60856
60284,60864
60290,60870
60297,60876
60305,60883
60311,60889
60318,60895
60325,60903
60332,60909
60339,60915
60346,60922
60353,60928
60360,60935
60367,60942
60375,60948
60381,60955
60388,60961
60395,60968
60403,60974
60410,60980
60416,60987
60423,60994
60431,61001
60438,61007
60444,61014
60451,61020
60459,61026
60466,61033
60472,61040
60480,61046
60486,61053
60493,61059
60500,61066
60507,61073
60514,61079
60521,61086
60528,61092
60535,61098
60542,61105
60548,61111
60555,61118
60563,61125
60570,61131
60576,61137
60583,61144
60590,61150
60597,61156
60605,61162
60612,61170
60618,61176
60625,61182
60633,61189
60639,61195
60646,61202
60653,61208
60660,61215
60667,61221
60674,61227
60680,61235
60687,61241
60694,61247
60701,61254
60708,61261
60715,61267
60721,61274
60729,61280
60736,61287
60742,61294
60749,61300
60757,61306
60763,61313
60770,61319
60776,61326
60784,61333
60791,61339
60797,61345
60804,61352
60812,61359
60818,61365
60825,61372
60831,61378
60839,61384
60845,61392
60852,61398
60859,61404
60866,61411
60873,61417
60880,61424
60886,61430
60893,61437
60901,61443
60907,61451
60914,61458
60921,61464
60928,61471
60936,61478
60942,61484
60949,61491
60956,61497
60963,61504
60970,61510
60977,61516
60984,61522
60991,61529
60997,61536
61004,61543
61011,61549
61019,61555
61025,61561
61032,61568
61039,61574
61045,61581
61052,61587
61060,61594
61067,61600
61073,61606
61080,61613
61087,61620
61094,61626
61101,61633
61108,61639
61115,61645
61121,61651
61128,61659
61136,61665
61143,61671
61149,61678
61156,61685
61163,61691
61170,61697
61177,61703
61184,61711
61191,61717
61197,61723
61204,61730
61211,61737
61219,61743
61225,61750
61232,61756
61239,61763
61247,61769
61253,61776
61260,61782
61267,61789
61273,61796
61280,61802
61288,61809
61294,61816
61301,61822
61308,61828
61315,61834
61323,61842
61330,61848
61337,61854
61343,61860
61350,61868
61358,61874
61364,61880
61371,61887
61378,61894
61385,61900
61392,61907
61399,61913
61406,61920
61412,61927
61419,61933
61427,61940
61434,61947
61441,61953
61448,61960
61454,61966
61462,61973
61469,61980
61475,61986
61482,61992
61489,62000
61497,62006
61503,62012
61510,62018
61517,62025
61523,62031
61530,62038
61538,62044
61545,62051
61552,62057
61558,62063
61565,62070
61573,62076
61580,62083
61586,62090
61593,62096
61600,62102
61607,62110
61614,62116
61621,62122
61627,62128
61634,62136
61641,62142
61649,62148
61655,62154
61662,62161
61669,62168
61676,62175
61683,62181
61689,62188
61697,62194
61704,62201
61711,62207
61718,62214
61724,62220
61731,62226
61738,62232
61746,62240
61753,62246
61760,62252
61766,62259
61773,62266
61780,62272
61787,62279
61794,62285
61801,62291
61808,62298
61815,62305
61821,62311
61828,62318
61836,62324
61842,62331
61849,62338
61856,62344
61863,62351
61870,62357
61877,62363
61885,62370
61892,62377
61898,62383
61905,62389
61912,62396
61919,62403
61925,62409
61933,62415
61940,62422
61947,62428
61953,62435
61960,62441
61967,62448
61974,62454
61981,62461
61988,62467
61996,62474
62003,62481
62009,62488
62016,62494
62022,62501
62029,62507
62036,62514
62044,62520
62051,62527
62058,62533
62064,62539
62071,62546
62078,62552
62086,62559
62092,62565
62099,62572
62106,62578
62113,62585
62120,62591
62126,62598
62134,62604
62141,62611
62148,62618
62155,62624
62162,62631
62168,62638
62175,62645
62183,62651
62190,62657
62197,62664
62203,62670
62210,62677
62217,62683
62225,62690
62231,62696
62238,62705
62245,62711
62252,62718
62258,62724
62265,62731
62272,62737
62279,62744
62286,62750
62293,62757
62300,62763
62307,62770
62314,62777
62321,62784
62327,62790
62334,62797
62341,62803
62348,62810
62356,62816
62363,62823
62369,62830
62376,62836
62383,62843
62390,62849
62397,62857
62404,62863
62410,62870
62417,62877
62425,62883
62432,62890
62439,62896
62446,62903
62452,62909
62459,62916
62466,62922
62473,62929
62480,62935
62486,62942
62493,62948
62500,62956
62508,62962
62515,62969
62522,62975
62529,62982
62536,62988
62543,62995
62550,63001
62557,63007
62564,63015
62571,63021
62577,63028
62584,63034
62592,63041
62599,63047
62606,63054
62613,63060
62620,63067
62627,63073
62634,63080
62640,63086
62647,63093
62654,63099
62661,63106
62668,63112
62675,63118
62682,63126
62689,63132
62696,63138
62702,63145
62709,63152
62716,63158
62723,63165
62730,63172
62737,63179
62744,63186
62751,63192
62758,63199
62765,63206
62772,63212
62778,63218
62785,63226
62792,63232
62799,63239
62806,63245
62813,63252
62820,63258
62827,63265
62834,63272
62841,63278
62848,63284
62855,63291
62862,63298
62869,63304
62876,63310
62883,63318
62890,63324
62897,63330
62904,63337
62911,63344
62918,63351
62924,63357
62931,63364
62938,63370
62945,63377
62952,63383
62959,63389
62966,63396
62973,63402
62980,63408
62987,63415
62994,63422
63001,63428
63008,63434
63015,63442
63022,63448
63029,63454
63036,63460
63043,63468
63049,63474
63056,63480
63063,63487
63070,63493
63077,63500
63084,63507
63091,63513
63097,63519
63104,63526
63111,63533
63118,63539
63124,63546
63131,63552
63138,63558
63146,63565
63152,63572
63159,63578
63166,63584
63174,63590
63181,63598
63188,63604
63195,63610
63201,63617
63208,63623
63215,63629
63221,63636
63228,63643
63235,63649
63242,63655
63249,63663
63256,63669
63263,63676
63270,63682
63276,63688
63283,63695
63290,63701
63297,63708
63305,63715
63312,63722
63319,63728
63326,63733
63333,63740
63340,63746
63347,63753
63353,63759
63361,63766
63368,63772
63375,63778
63382,63785
63388,63792
63395,63798
63402,63804
63409,63811
63416,63817
63423,63823
63430,63830
63438,63837
63445,63844
63452,63850
63459,63856
63466,63864
63473,63869
63480,63877
63487,63883
63494,63889
63500,63896
63507,63902
63514,63908
63521,63916
63528,63922
63535,63929
63542,63935
63549,63942
63556,63948
63563,63954
63570,63962
63577,63968
63584,63974
63591,63981
63598,63987
63605,63994
63612,64001
63619,64008
63626,64013
63633,64020
63640,64027
63647,64033
63653,64039
63660,64046
63667,64052
63674,64059
63681,64066
63688,64072
63695,64078
63702,64085
63708,64091
63715,64098
63722,64105
63729,64111
63736,64118
63743,64125
63749,64131
63756,64137
63763,64145
63770,64151
63777,64157
63784,64164
63791,64170
63798,64177
63805,64184
63812,64190
63819,64197
63826,64203
63833,64210
63840,64216
63847,64223
63854,64230
63860,64235
63867,64243
63874,64249
63881,64255
63888,64262
63894,64268
63902,64275
63909,64282
63916,64288
63923,64294
63930,64300
63937,64306
63944,64313
63951,64320
63958,64327
63964,64333
63971,64340
63978,64346
63985,64352
63992,64359
63999,64366
64006,64372
64012,64378
64020,64385
64027,64391
64034,64398
64041,64404
64048,64411
64055,64417
64062,64424
64068,64431
64075,64437
64082,64444
64089,64450
64096,64456
64103,64464
64110,64470
64117,64476
64124,64482
64131,64489
64138,64496
64144,64503
64151,64509
64158,64516
64165,64522
64172,64528
64179,64536
64185,64542
64192,64548
64200,64555
64207,64561
64214,64567
64220,64574
64228,64580
64235,64587
64242,64593
64249,64600
64255,64606
64263,64612
64270,64619
64277,64625
64284,64631
64291,64639
64296,64645
64303,64651
64310,64658
64318,64664
64325,64670
64332,64677
64339,64683
64345,64690
64352,64697
64360,64703
64367,64710
64374,64717
64380,64723
64387,64729
64394,64736
64401,64742
64408,64749
64414,64756
64421,64762
64428,64769
64436,64775
64443,64782
64450,64788
64456,64795
64463,64801
64470,64808
64477,64814
64484,64820
64491,64828
64498,64834
64505,64840
64512,64847
64519,64853
64526,64860
64532,64867
64540,64873
64547,64880
64554,64886
64561,64892
64567,64899
64574,64906
64581,64913
64588,64919
64595,64926
64602,64932
64609,64938
64616,64945
64623,64951
64629,64958
64636,64964
64643,64971
64651,64977
64657,64983
64664,64990
64672,64996
64679,65004
64685,65010
64693,65017
64700,65023
64706,65029
64713,65035
64721,65043
64728,65049
64734,65055
64742,65062
64749,65068
64755,65076
64762,65082
64769,65088
64777,65095
64783,65101
64790,65108
64797,65115
64804,65121
64811,65127
64818,65134
64825,65140
64832,65147
64838,65154
64845,65160
64852,65166
64860,65172
64866,65179
64873,65186
64880,65192
64887,65198
64893,65205
64900,65212
64907,65218
64915,65224
64921,65231
64928,65237
64935,65244
64943,65250
64949,65257
64956,65264
64963,65270
64970,65276
64977,65284
64984,65290
64990,65296
64998,65303
65005,65309
65011,65317
65018,65323
65025,65329
65032,65335
65039,65343
65046,65349
65052,65355
65060,65362
65067,65369
65073,65375
65080,65382
65086,65388
65094,65395
65101,65402
65107,65408
65114,65415
65122,65422
65128,65428
65135,65434
65141,65441
65149,65448
65156,65454
65163,65460
65170,65466
65177,65474
65184,65480
65191,65486
65198,65493
65205,65500
65212,65506
65219,65513
65226,65519
65233,65525
65240,65532
65247,65539
65254,65545
65261,65551
65267,65559
65275,65565
65282,65571
65288,65578
65296,65585
65303,65591
65310,65597
65317,65604
65324,65611
65331,65617
65337,65623
65344,65630
65352,65637
65359,65643
65366,65649
65372,65656
65379,65663
65387,65669
65393,65675
65400,65682
65407,65688
65414,65694
65421,65700
65428,65708
65434,65714
65442,65720
65448,65728
65455,65734
65463,65740
65469,65746
65477,65753
65483,65760
65491,65766
65498,65773
65504,65779
65512,65786
65518,65792
65526,65798
65532,65805
65539,65812
65546,65818
65553,65825
65560,65832
65567,65838
65573,65844
65581,65851
65588,65858
65594,65864
65602,65870
65608,65877
65615,65884
65623,65890
65629,65896
65636,65903
65643,65909
65650,65915
65657,65922
65664,65929
65671,65935
65677,65942
65685,65948
65692,65954
65698,65961
65705,65967
65713,65974
65719,65981
65726,65988
65733,65994
65740,66001
65747,66007
65754,66013
65761,66020
65768,66027
65775,66033
65782,66039
65789,66046
65796,66052
65803,66059
65810,66066
65817,66072
65824,66078
65830,66085
65838,66091
65845,66098
65851,66104
65858,66111
65866,66118
65872,66124
65879,66131
65887,66137
65893,66144
65900,66150
65907,66157
65913,66163
65920,66170
65928,66176
65934,66183
65941,66189
65948,66195
65955,66202
65962,66208
65969,66215
65975,66221
65983,66227
65989,66235
65996,66241
66004,66248
66011,66254
66017,66260
66025,66267
66031,66273
66038,66280
66045,66286
66052,66294
66059,66300
66066,66306
66073,66312
66080,66319
66087,66325
66093,66332
66100,66339
66107,66345
66115,66351
66121,66357
66128,66364
66135,66371
66142,66377
66149,66383
66156,66390
66163,66397
66170,66403
66176,66410
